"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Point","HSN Code","Customisation Id","attr_Brand","attr_Plating","attr_color","attr_Country","attr_Pack of","attr_Print /Pattern Type","attr_Ideal for","attr_Product Type","attr_Ideal For","attr_Type","attr_Country of origin","attr_Occasion","attr_Base Material
","attr_Clasp Type","attr_Chain Type","attr_pack of","attr_Base Material","attr_Bangle Size","attr_Size","attr_Comfortable for","attr_Package Contents","attr_Gemstone","attr_Sales Package","attr_Gemstone
","attr_2>","attr_3>","attr_4>","attr_5>","attr_Stone Type","attr_Country_of_Origin"
"15520","","Designer Gold Plated Ad Diamond Bangle( Set of 2)","15520_2.4",499,1249,170,4892,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/z0mV6Kh-_WIEESDOGRC_2024-01-16_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/z0mV6Kh-_OMNUCDJAPC_2024-01-16_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/z0mV6Kh-_5F0CQJN85A_2024-01-16_4.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/z0mV6Kh-_DJWIIZTQ1S_2024-01-16_5.jpg","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/z0mV6Kh-_VQY557N908_2024-01-13_1.MP4","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.4","Gold","Introducing the Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set

Elegance meets contemporary design with our exquisite Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set. Crafted to perfection, these bangles are a celebration of fine artistry and timeless style, making them an essential addition to your jewelry collection.

Key Features:

Micro Gold Plated Brilliance: Each bangle in this set is meticulously micro gold plated to achieve a luxurious and radiant finish. The careful application of gold plating ensures a stunning luster that captures the light with every movement, enhancing your overall look.

Dot Design Embellishments: The bangles are adorned with intricate dot design embellishments, adding a touch of sophistication and charm to the set. These subtle and refined patterns create a mesmerizing visual appeal, making the bangles suitable for both formal and casual occasions.

Premium Quality Craftsmanship: Our artisans have poured their skill and dedication into crafting these bangles. The attention to detail and precision in design reflect the highest standards of craftsmanship, resulting in a set that exudes opulence and elegance.

Versatile and Stylish: Whether you're attending a wedding, a festive celebration, or a sophisticated soir?, these bangles effortlessly complement a variety of outfits. Their timeless appeal ensures that you'll turn heads and receive compliments wherever you go.

Set of Four: The Designer Premium Quality Micro Gold Plated Dot Design Bangle Set comprises four individual bangles that can be worn together for a statement look or paired with other pieces from your collection for a unique mix-and-match style.

Comfortable Fit: Despite their lavish appearance, these bangles are designed with your comfort in mind. They slide onto your wrist smoothly and rest comfortably, allowing you to enjoy their beauty all day long.

Gift-Worthy Presentation: Each set comes in a thoughtfully designed presentation box, making it an ideal gift for special occasions. Whether you're treating yourself or surprising a loved one, these bangles are sure to delight and impress.

Elevate your jewelry game with the Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set. Its exquisite craftsmanship, stunning design, and versatile appeal make it a must-have accessory that adds a touch of glamour to every moment. Get ready to make a lasting impression and shine bright with these remarkable bangles.","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"","20 carat jewellery","Gold Plated","Gold","India","2","Designer Printed","Women",,,,,,,,,,,,,,,,,,,,,,,
"15520","","Designer Gold Plated Ad Diamond Bangle( Set of 2)","15520_2.6",499,1249,170,4851,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15520","","Designer Gold Plated Ad Diamond Bangle( Set of 2)","15520_2.8",499,1249,170,4864,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15511","","Gold Plated Bangle Set","15511_2.4",499,1249,155,4864,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/ZvOkfmpX_WY8M0ZH8GV_2024-01-16_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/ZvOkfmpX_QLNSZPRHLJ_2024-01-16_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/ZvOkfmpX_MK0VRSVP5R_2024-01-16_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/ZvOkfmpX_2YIB0ZW6KA_2024-01-16_4.jpg","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/ZvOkfmpX_ZYD8OGRN3U_2023-12-25_1.MP4","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.4","Gold","Introducing the Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set

Elegance meets contemporary design with our exquisite Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set. Crafted to perfection, these bangles are a celebration of fine artistry and timeless style, making them an essential addition to your jewelry collection.

Key Features:

Micro Gold Plated Brilliance: Each bangle in this set is meticulously micro gold plated to achieve a luxurious and radiant finish. The careful application of gold plating ensures a stunning luster that captures the light with every movement, enhancing your overall look.

Dot Design Embellishments: The bangles are adorned with intricate dot design embellishments, adding a touch of sophistication and charm to the set. These subtle and refined patterns create a mesmerizing visual appeal, making the bangles suitable for both formal and casual occasions.

Premium Quality Craftsmanship: Our artisans have poured their skill and dedication into crafting these bangles. The attention to detail and precision in design reflect the highest standards of craftsmanship, resulting in a set that exudes opulence and elegance.

Versatile and Stylish: Whether you're attending a wedding, a festive celebration, or a sophisticated soir?, these bangles effortlessly complement a variety of outfits. Their timeless appeal ensures that you'll turn heads and receive compliments wherever you go.

Set of Four: The Designer Premium Quality Micro Gold Plated Dot Design Bangle Set comprises four individual bangles that can be worn together for a statement look or paired with other pieces from your collection for a unique mix-and-match style.

Comfortable Fit: Despite their lavish appearance, these bangles are designed with your comfort in mind. They slide onto your wrist smoothly and rest comfortably, allowing you to enjoy their beauty all day long.

Gift-Worthy Presentation: Each set comes in a thoughtfully designed presentation box, making it an ideal gift for special occasions. Whether you're treating yourself or surprising a loved one, these bangles are sure to delight and impress.

Elevate your jewelry game with the Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set. Its exquisite craftsmanship, stunning design, and versatile appeal make it a must-have accessory that adds a touch of glamour to every moment. Get ready to make a lasting impression and shine bright with these remarkable bangles.","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15511","","Gold Plated Bangle Set","15511_2.6",499,1249,155,4833,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15511","","Gold Plated Bangle Set","15511_2.8",499,1249,155,4877,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15474","","Gold Plated Dot Design Bangle (Set Of 4)","15474_2.1",499,1049,135,4963,3,3,2,"0.05",3,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/1hCi0O66_MSJFYQG7OV_2024-02-13_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/1hCi0O66_AM9Q9YCCOX_2024-02-13_2.png","","","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/1hCi0O66_A43MCZ1BD5_2023-12-25_1.MP4","","mens_accessories__mens_fashion_jewellery__bracelet","size","2.1","Gold","Introducing the Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set

Elegance meets contemporary design with our exquisite Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set. Crafted to perfection, these bangles are a celebration of fine artistry and timeless style, making them an essential addition to your jewelry collection.

Key Features:

Micro Gold Plated Brilliance: Each bangle in this set is meticulously micro gold plated to achieve a luxurious and radiant finish. The careful application of gold plating ensures a stunning luster that captures the light with every movement, enhancing your overall look.

Dot Design Embellishments: The bangles are adorned with intricate dot design embellishments, adding a touch of sophistication and charm to the set. These subtle and refined patterns create a mesmerizing visual appeal, making the bangles suitable for both formal and casual occasions.

Premium Quality Craftsmanship: Our artisans have poured their skill and dedication into crafting these bangles. The attention to detail and precision in design reflect the highest standards of craftsmanship, resulting in a set that exudes opulence and elegance.

Versatile and Stylish: Whether you're attending a wedding, a festive celebration, or a sophisticated soir?, these bangles effortlessly complement a variety of outfits. Their timeless appeal ensures that you'll turn heads and receive compliments wherever you go.

Set of Four: The Designer Premium Quality Micro Gold Plated Dot Design Bangle Set comprises four individual bangles that can be worn together for a statement look or paired with other pieces from your collection for a unique mix-and-match style.

Comfortable Fit: Despite their lavish appearance, these bangles are designed with your comfort in mind. They slide onto your wrist smoothly and rest comfortably, allowing you to enjoy their beauty all day long.

Gift-Worthy Presentation: Each set comes in a thoughtfully designed presentation box, making it an ideal gift for special occasions. Whether you're treating yourself or surprising a loved one, these bangles are sure to delight and impress.

Elevate your jewelry game with the Designer Premium Quality Micro Gold Plated Dot Design 4 Pcs Bangle Set. Its exquisite craftsmanship, stunning design, and versatile appeal make it a must-have accessory that adds a touch of glamour to every moment. Get ready to make a lasting impression and shine bright with these remarkable bangles.","2",true,"https://s3.ap-south-1.amazonaws.com/nushop-website-assets/1716968836355_A4YMY2XV40_2024-05-29_1.jpg",1,,"","20 carat jewellery","Gold Plated","Gold","India","4","Dot Design",,"Bangle",,,,,,,,,,,,,,,,,,,,,,
"15474","","Gold Plated Dot Design Bangle (Set Of 4)","15474_2.4",499,1049,135,4607,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.4",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15474","","Gold Plated Dot Design Bangle (Set Of 4)","15474_2.6",499,1049,135,4645,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.6",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15474","","Gold Plated Dot Design Bangle (Set Of 4)","15474_2.8",499,1049,140,4940,3,3,2,"0.05",3,,,,,,,,,,,,,,"size","2.8",,,"2",true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
